year,stock,capture,effort
1990,Panulirus argus,11276,33331
1991,Lobatus gigas,1557,153636
1991,Lutjanus synagris,1597,133512.4
1991,Ocyurus chrysurus,704,133512.36
1991,Panulirus argus,12335,32821
1992,Lobatus gigas,1571,153636
1992,Lutjanus synagris,1445,145262.5
1992,Ocyurus chrysurus,745,145262.52
1992,Panulirus argus,11755,31806
1993,Lobatus gigas,1580,153636
1993,Lutjanus synagris,1201,90188.7
1993,Ocyurus chrysurus,539,90188.7
1993,Panulirus argus,11529,31464
1994,Lobatus gigas,1413,153636
1994,Lutjanus synagris,1786,118410.9
1994,Ocyurus chrysurus,592,118410.89
1994,Panulirus argus,13045,36183
1995,Lobatus gigas,1026,153636
1995,Lutjanus synagris,1943,124984.6
1995,Ocyurus chrysurus,592,124984.55
1995,Panulirus argus,12443,39215
1996,Lobatus gigas,1105,191141
1996,Lutjanus synagris,1848,115091.5
1996,Ocyurus chrysurus,1176,115091.49
1996,Panulirus argus,12306,43090
1997,Lobatus gigas,1926,153636
1997,Lutjanus synagris,2472,97665
1997,Ocyurus chrysurus,727,97664.99
1997,Panulirus argus,12344,44605
1998,Lobatus gigas,1891,195578
1998,Lutjanus synagris,2609,88709.1
1998,Ocyurus chrysurus,457,88709.13
1998,Panulirus argus,12378,46288
1999,Lobatus gigas,1051,241818
1999,Lutjanus synagris,1712,80690.5
1999,Ocyurus chrysurus,409,80690.47
1999,Panulirus argus,13228,47633
2000,Lobatus gigas,1745,209684
2000,Lutjanus synagris,2114,66564.8
2000,Ocyurus chrysurus,408,66564.75
2000,Panulirus argus,11516,44593
2001,Lobatus gigas,1980,189353
2001,Lutjanus synagris,1891,74082.3
2001,Ocyurus chrysurus,413,74082.25
2001,Panulirus argus,10575,36155
2002,Lobatus gigas,1380,220557
2002,Lutjanus synagris,1844,69359.1
2002,Ocyurus chrysurus,370,69359.055
2002,Panulirus argus,13047,36320
2003,Lobatus gigas,1770,227069
2003,Lutjanus synagris,1075,71229.5
2003,Ocyurus chrysurus,437,71229.45
2003,Panulirus argus,8730,31424
2004,Lobatus gigas,2101,193858
2004,Lutjanus synagris,871,69336.5
2004,Ocyurus chrysurus,438,69336.45
2004,Panulirus argus,11095,30240
2005,Lobatus gigas,2136,228294
2005,Lutjanus synagris,694,65557.1
2005,Ocyurus chrysurus,299,65557.1
2005,Panulirus argus,9618,26524
2006,Lobatus gigas,2336,241246
2006,Lutjanus synagris,1129,63661.4
2006,Ocyurus chrysurus,295,63661.44
2006,Panulirus argus,7492,26014
2007,Lobatus gigas,1969,238091
2007,Lutjanus synagris,1258,57998.4
2007,Ocyurus chrysurus,323,57998.39
2007,Panulirus argus,8007,22500
2008,Lobatus gigas,2080,258563
2008,Lutjanus synagris,1647,61265.9
2008,Ocyurus chrysurus,295,61265.945
2008,Panulirus argus,9003,18416
2009,Lobatus gigas,2500,312316
2009,Lutjanus synagris,1268,54661.7
2009,Ocyurus chrysurus,365,54661.71
2009,Panulirus argus,7339,20098
2010,Lobatus gigas,2395,280172
2010,Lutjanus synagris,1534,60767.4
2010,Ocyurus chrysurus,293,60767.438
2010,Panulirus argus,7163,18408
2011,Lobatus gigas,2908,292056
2011,Lutjanus synagris,1280,63575
2011,Ocyurus chrysurus,302,63575.03
2011,Panulirus argus,9182,18741
